,FIPS,Text,Pred
144,53067.0,dont turn away the crisis facing afghan women minorities | opinion httpstcokwoafuo9bh afghanistan ,1
145,48113.0,i would say far afghanistan worst humanitarian crisis planet currently saveceous not lo ,1
146,36061.0,maudmaron yuhline combat veteran served afghanistan here kids shouldn risk death dismember ,1
147,18141.0,big fish show no mercy maydan interconnectedness all ukraine ,1
148,36061.0,even taliban craves political legitimacy approach female education completely undermines politic ,1
149,48113.0,taliban cannot erase can this not like 1990s before accept women they ,1
150,51510.0,waseem ahmed mentioned project irworldwide did afghanistan christian aid during pandemic help commun ,1
151,51013.0,12 best practice effective assistance afghanistan us should seek assurance entities receiving u ,1
152,25027.0,celebrated cellist yoyo ma has joined refugees afghanistan national institute music portuguese ,1
153,6059.0,soon after releasing book chronicling work iraq protect interpreters worked american soldiers ste ,1
154,31109.0,engineering yard 26engineerregt proudsappers camp bastion afghanistan image iwm operationherrick ,1
155,36061.0,am proud myself i am example family relatives i can provide income family k ,1
156,26111.0,can imagine well armed ukraine would if biden had recovered even half equipment left the ,1
157,-1.0,enjoyed productive conversation drtedros who amp usaid responses global health emergencies in httpstco3lygi3spfs s ,1
158,11001.0,early march precipitation supports spring planting below average crop production expected afghanistan ,1
159,48279.0,qaisunv saeedehshafiee journalhafteh thank dear qais wazir reading as say reading gives somepl ,1
160,6037.0,thank statistics can give statistics total number girls school iv college ,1
161,36061.0,basic needs human rights humanrights afghanistancrisis ,1
162,24013.0,i want remind about russianbounties us soldiers afghanistan ,1
163,31109.0,iso container camp bastion afghanistan 2012 image iwm operationherrick opherrick campbastion ,1
164,36061.0,not safe own country not safe neighboring country not safe even making journey iran afghanistan ,1
165,11001.0,households facing crisis ipc phase 3 outcomes present throughout afghanistan poor urban households includin ,1
166,13121.0,national anthem afghanistan sonorous voices indonesian girls ,1
167,36061.0,despite halfhearted public relations makeover after sweeping power august 2021 taliban remains it ,1
168,31109.0,we working project exploring veterans experiences operating bases afghanistan get touch fi ,1
169,36061.0,bizarre tweet taliban leader trying not sure point out it ok girls cannot attend high school bec ,1
170,48333.0,not support terrorists alzawahiri says true about pakistan ruling afghanistan not only women but ,1
171,12105.0,do think christians need do more help people afghanistan hiding taliban so ta ,1
172,39093.0,if putinswar becomes wwiii battle lines drawn theworld against russia russia amp china russi ,1
173,12057.0,senateforeign us invasions killed over 10 million people iraq afghanistan libya syria palestine yemen ,1
174,11001.0,a bomb crater business partner pit stop afghanistan highway ,1
175,39093.0,who us allies afghanistan afghanresistance the taliban the russians the chinese httpstco7vfsdfin9k s ,1
176,-1.0,these statistic numbers just insulting given fact girls school 712 still shut in ,1
177,51013.0,12 best practice effective assistance afghanistan if us decides channel multimillion mult ,1
178,36061.0,live bookdiscussion the comrades mullahs | china afghanistan taliban | girmanipal harpercollinsin ,1
179,48279.0,afghanistan preparing possible pakistani attack helicopter security forces hit shot fr ,1
180,36061.0,girls afghanistan above sixth grade not allowed attend school following taliban ministry ed ,1
181,-1.0,people just now realizing iran cruel inhumane country what world we live so called ,1
182,13121.0,the fate 40 million people hands so called brained wash mullahs these creatures runs country o ,1
183,13121.0,we afghans need hold accountable corrupt leaders current situation the famine afghanistan i ,1
184,24013.0,glblctzn if you real advocates artists athletes amp global citizens want make global positive stand than ,1
185,48279.0,bowtch spiritofho besides us not bothering tie kids up straight bombing toddlers amp children pieces in ,1
186,36061.0,today intelbrief the taliban continue deny afghan girls right education ,1
187,48201.0,education arts music productivity poem talents persian speakers afghanistancrisis afghanwomen afghans afghanistan ,1
188,6065.0,afghanistan facing worst hunger crisis recorded history almost half population below age ,1
189,51013.0,best practice effective assistance afghanistan us should confirm entities disbursing amp managing us fun ,1
190,53033.0,recent ongoing wars continue prove political issues can not resolved war if one side prevai ,1
191,6107.0,squealydan1 ap you started it i fucked off long time ago enjoy bideninflation afghanistan ukraine policy ,1
192,48279.0,stole belongings irregular migrants afghanistan middleeast before sending back tow ,1
193,6001.0,be wary siren song regimechange the us tried iraq libya syria afghanistan elsewhere w ,1
194,6071.0,fascinating amp therapeutic listening mg brian mennes dcg 18airbornecorps discuss extensive experience in ,1
195,48279.0,current places where is complete chaos or dire emergency situations yemen lebanon haiti myanmar ,1
196,25025.0,mtracey we should take military equipment we left behind afghanistan give zelensky ukraine ,1
197,13121.0,may god continue bless family continuing efforts provide food necessities for ,1
198,48333.0,isnt amazing war footage coming out news corporations by golly i dont recall ever seeing so much ,1
199,6107.0,you cannot just kill civilians then call nazis putin has too much money power strong armyamp weapons so n ,1
200,36103.0,both afghanistan ukraine shown we weak commanderinchief do we weak senior military leaders ,1
201,16013.0,were literally able confront russia way we because were not afghanistan i ,1
202,6037.0,nytimes well easy boys iraq afghanistan syria yemen palestineunderattack warmongers ,1
203,53033.0,the economic crisis afghanistan has left orphanages without funding has led shut downs please share t ,1
204,41051.0,hear first american women delegation afghanistan since taliban takeover we lots share o httpstcolwhycs4yxg s ,1
205,11001.0,president obama followed suit during first year office committing additional us troops surge in ,1
206,36061.0,the undp crisis response afghanistan aims provide most vulnerable afghans means survive an ,1
207,11001.0,our advocacy awards person year night honoring hillaryclinton amp activist roshan mashal ,1
208,11001.0,per whitehouse press office potus spoke phone today safiullah rauf amp anees khalil were released la ,1
209,17031.0,senduckworth voteno kremlinrussiae made clear if go down path responsible t ,1
210,27053.0,davidhogg111 in case didnt realize 100 democrats talking about total bs meant distract u ,1
211,13121.0,afghanistan never had good neighbors sanctioniran afghanrefugeesiniran ,1
212,36061.0,important piece women rights activist yaldaroyan newsweek fate women minorities in httpstcouez8qvfhxo s ,1
213,6037.0,living nightmare lgbt afghans life after taliban takeover the panicfuelled chaos came to ,1
214,17105.0,can give freedom nobody can give equality justice anything if you man take it ,1
215,11001.0,having already experienced terror loss 911 bush losing watch provided powerful im ,1
216,34021.0,join opening ceremony event afghanistan policy lab april 14 430 pm et ,1
217,39049.0,samramani2 hope other big democratic nations also held accountable amp expelled one day genocide civi ,1
218,-1.0,icymi nesa professor ajalali quoted russiaukrainewar afghanistan ,1
219,12021.0,satellite images appear show russian atrocities bucha ukraine b httpstconvj6f366yn via youtube he ,1
220,5007.0,johnsaffron100 timrunshismouth kathygriffin daniela127 so if i created similar performance art biden due ,1
221,-1.0,i had hoped better news situation afghanistan remains girls aged 7th12th grade not a ,1
222,13075.0,am i reading right is toys left behind months ago usmilitary afghanistan 0ctoberreignz ,1
223,24005.0,the hardest place morgan httpstcomwatpg3jb4 war military ad amazon ,1
224,6037.0,flashback us war crime no one international community seemed care about swept under ,1
225,13091.0,video my thoughts fallen 13 commentary afghanistan fallen13 ,1
226,28121.0,no watching china slips assists taliban afghanistan no one watching china slides i ,1
227,13075.0,the prominent afghan women rights activist journalist serajmahbouba spoke mayank chhaya reports kabu httpstcos58ahwyedt s ,1
228,17031.0,repaoc voteno kremlinrussiae made clear if go down path responsible the ,1
229,17031.0,senatordurbin msnbc meetthepress voteno kremlinrussiae made clear if go down path be ,1
230,17031.0,senduckworth voteno kremlinrussiae made clear if go down path responsible t ,1
231,17031.0,hillaryclinton ericboehlert voteno kremlinrussiae made clear if go down path be ,1
232,17031.0,repadamschiff voteno kremlinrussiae made clear if go down path responsible all ,1
233,17031.0,nato jensstoltenberg dmytrokuleba voteno kremlinrussiae made clear if go down path be ,1
234,17031.0,january6thcmte replizcheney voteno kremlinrussiae made clear if go down path be ,1
235,17031.0,votemarsha voteno kremlinrussiae made clear if go down path responsible the ,1
236,17031.0,sensanders voteno kremlinrussiae made clear if go down path responsible the ,1
237,17031.0,mikeloychik voteno kremlinrussiae made clear if go down path responsible th ,1
238,12057.0,patrickheinisc1 igadsecretariat un breakthesilence westerners destroyed afghanistan iraq libya syria ,1
239,51013.0,12 ig sopko speaking university ottawa let conclude ultimate lesson i learned se ,1
240,17031.0,senatorleahy judiciarydems voteno kremlinrussiae made clear if go down path be ,1
241,17031.0,senatortimscott voteno kremlinrussiae made clear if go down path responsible al ,1
242,17031.0,repmtg voteno kremlinrussiae made clear if go down path responsible the ,1
243,17031.0,repjuanvargas voteno kremlinrussiae made clear if go down path responsible all ,1
244,17031.0,bettemidler voteno kremlinrussiae made clear if go down path responsible th ,1
245,17031.0,senmastriano voteno kremlinrussiae made clear if go down path responsible t ,1
246,17031.0,gregabbotttx voteno kremlinrussiae made clear if go down path responsible all ,1
247,17031.0,repmarymiller voteno kremlinrussiae made clear if go down path responsible all ,1
248,17031.0,codeofvets voteno kremlinrussiae made clear if go down path responsible the ,1
249,17031.0,senatorsinema judiciarydems voteno kremlinrussiae made clear if go down path be ,1
250,17031.0,drewhlive voteno kremlinrussiae made clear if go down path responsible the ,1
251,17031.0,senatorromney mittromney un voteno kremlinrussiae made clear if go down path be ,1
252,17031.0,barackobama chicagobulls mbkalliance girlsalliance obamafoundation voteno kremlinrussiae made clear i ,1
253,17031.0,jayobernolte gopleader voteno kremlinrussiae made clear if go down path be ,1
254,17031.0,speakerpelosi voteno kremlinrussiae made clear if go down path responsible all ,1
255,17031.0,aoc voteno kremlinrussiae made clear if go down path responsible the ,1
256,17031.0,housefloor voteno kremlinrussiae made clear if go down path responsible the ,1
257,-1.0,the taliban arrested 11 women tore taliban banners event bamyan act protest taliban httpstco1undwajrpv s ,1
258,34013.0,read | americans spent 20 years forgetting afghanistan i didn luxury would pop up hea ,1
259,11001.0,americasvoice may empathy ukraine extend refugees ampmigrantsincluding those wdeep ties usa like ,1
260,11001.0,americasvoice may empathy ukraine extend refugees ampmigrantsincluding those wdeep ties usa like ,1
261,11001.0,tusk81 americasvoice senatedems may empathy ukraine extend refugees ampmigrantsincluding those wdeep ,1
262,26161.0,isciences precipitation forecast apr 2022 drier than norm kyrgyzstan tajikistan afghanistan turkmenistan ,1
263,12095.0,lindawesson the resistance north has picked up perhaps operations going southwest ,1
264,11001.0,americasvoice franksharry may empathy ukraine extend refugees ampmigrantsincluding those wdeep ties t ,1
265,48113.0,female student attempting return university iran beaten taliban traveling alone not look a ,1
266,12099.0,we sitting almost exactly soviet union more than 30 years ago post failed withdrawal from ,1
267,12095.0,sebastianos15 i wrote about anne smedinghoff other courageous diplomatssome also happen women m ,1
268,51013.0,12 ig sopko prior august contributions international donors financed approx 80 percent of ,1
269,51013.0,ig sopko speaking university ottawa oversight must integral part aid distribution from ,1
270,8093.0,with went afghanistan brings memories september11 over 20th anniversary what were we think ,1
271,-1.0,afghanwomen helped keep afghanistan moving forward towards progress equality peacenotwar ,1
272,11001.0,excellent discussion today civil society organizations germany important partners delivering ,1
273,11001.0,breaking according intelligence reports taliban weapons depot boston billion pound base shurab airpor ,1
274,34005.0,itsapurdy mattczeller tough sell they surrendered en mass which created one great cluster fuck evacua ,1
275,36061.0,we must make education girls incl refugee girls greatest hope women economic empowerment co ,1
276,11001.0,johnslocum2 rcusadc may empathy felt ukraine extend refugees ampmigrantsincl those wdeep ties to ,1
277,48333.0,amnesty hrw used weapons developing countries if don bow down imperialist agend ,1
