Time,Text,City,County,State
2022-04-09 03:44:00+00:00,b'$7.99 Standup Comedy career launching 5 star workbook- Gift your funny friend or family member this unique gift! Pu\xe2\x80\xa6 https://t.co/0hCyUBdPY1',,,
2022-04-09 03:40:46+00:00,"b'RT @PhotographyET: ""Riding Into the Light"", #railroad art by ET Photography\n\nI captured this image in #Michigan.  \n\nhttps://t.co/Zsa46S1KyU\xe2\x80\xa6'",Los Angeles,,California
2022-04-09 03:40:40+00:00,b'What the hell is going on in #Michigan ?',,,
2022-04-09 03:36:46+00:00,"b'RT @AdrblyFerocious: Jury acquits two men in Michigan governor kidnapping case, deadlocks on charge for two others.\n\n#Michigan\n#WTP_Of_TGCA\xe2\x80\xa6'",,,
2022-04-09 03:34:54+00:00,b'How did #Michigan jurors find those criminal neanderthal thugs *not guilty* of trying to kidnap Governor Whitmer?',,,
2022-04-09 03:34:27+00:00,"b""We're excited to announce @GM recently honored our Bridgewater #Lansing, #Michigan plant with its Supplier of the Y\xe2\x80\xa6 https://t.co/7qyLJju1uK""",Detroit,,Michigan
2022-04-09 03:29:38+00:00,b'RT @Cannamazoo_420: You can get all kinds of Raw and rolling gear here. Ask us about hemp wick!\n\n #Cannamazoo #Czoo #ProvisioningCenter #Ka\xe2\x80\xa6',,,
2022-04-09 03:21:33+00:00,b'#Missouri  #iowa #florida #NewYork #DC #georgia #USArmy  #usmc #usnavy #california #michigan #ohio #Pennsylvania\xe2\x80\xa6 https://t.co/KJSgH8rZkG',,,
2022-04-09 03:19:24+00:00,"b'@AP In other words, confirming the ""sting."" They really had the ""brain trust"" in on this one, didn\'t they? There go\xe2\x80\xa6 https://t.co/Iq9WFWsj3n'",,,
2022-04-09 03:18:01+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",Durham,,North Carolina
